Taxa,Date,Date type,Date justification,Source,Aka,Epi notes,Misc Notes,Conflict date1,Conflict source1,Conflict date2,Conflict source2
AY572035|civet010|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.002732,2004-01-02,Date of collection,"When possible SARS was diagnosed in the waitress on January 2, 2004, serum, throat and rectal swabs were obtained from all 6 palm civets at the restaurant. : https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367621/",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367621/,10,"Restaurant civet. Epidemiologic investigations showed that 2 of the 4 recent SARS patients were linked with the restaurant serving palm civets as food. One patient was a 20-year-old waitress who became ill on December 26, 2003, with suspected SARS was diagnosed on January 2, 2004. All 6 palm civets from the restaurant were positive for SARS-CoV.","serum, throat and rectal swabs were obtained from all 6 palm civets at the restaurant.",,,,
AY572036|civet014|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.002732,2004-01-02,Date of collection,"When possible SARS was diagnosed in the waitress on January 2, 2004, serum, throat and rectal swabs were obtained from all 6 palm civets at the restaurant. : https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367621/",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367621/,14,"Restaurant civet. Epidemiologic investigations showed that 2 of the 4 recent SARS patients were linked with the restaurant serving palm civets as food. One patient was a 20-year-old waitress who became ill on December 26, 2003, with suspected SARS was diagnosed on January 2, 2004. All 6 palm civets from the restaurant were positive for SARS-CoV.","serum, throat and rectal swabs were obtained from all 6 palm civets at the restaurant.",,,,
AY572038|civet020|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.04,2004-01-02,Date of collection,"When possible SARS was diagnosed in the waitress on January 2, 2004, serum, throat and rectal swabs were obtained from all 6 palm civets at the restaurant. : https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367621/",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367621/,20,"Restaurant civet. Epidemiologic investigations showed that 2 of the 4 recent SARS patients were linked with the restaurant serving palm civets as food. One patient was a 20-year-old waitress who became ill on December 26, 2003, with suspected SARS was diagnosed on January 2, 2004. All 6 palm civets from the restaurant were positive for SARS-CoV.","serum, throat and rectal swabs were obtained from all 6 palm civets at the restaurant.",,,,
AY572037|civet019|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.002732,2004-01-02,Date of collection,"When possible SARS was diagnosed in the waitress on January 2, 2004, serum, throat and rectal swabs were obtained from all 6 palm civets at the restaurant. : https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367621/",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367621/,19,"Restaurant civet. Epidemiologic investigations showed that 2 of the 4 recent SARS patients were linked with the restaurant serving palm civets as food. One patient was a 20-year-old waitress who became ill on December 26, 2003, with suspected SARS was diagnosed on January 2, 2004. All 6 palm civets from the restaurant were positive for SARS-CoV.","serum, throat and rectal swabs were obtained from all 6 palm civets at the restaurant.",,,,
AY282752|CUHK_Su10|Human|Hong_Kong|2003.21,2003-03-13,Date of collection,"Personal Communication, The Chinese SARS Molecular Epidemiology Consortium: Supp: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC446188/",https://www.nejm.org/doi/pdf/10.1056/NEJM200307103490216,,mother of the index patient in this hospital outbreak: https://www.nejm.org/doi/pdf/10.1056/NEJM200307103490216,,,,,
AY394999|CUHK-LC2|Human|Hong_Kong|2003.37,2003-05-15,Estimated date of onset,Bothpatients had disease onset in mid-May 2003. ,ref 20 footnote: https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,,he CUHK-LC2 sequence was initially obtained from the culture isolate of a throat wash specimen of an infected hospital health care worker and was later confirmed from the same specimen directly: https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed (see ref 20 weird footnote),,,,,
AY395002|CUHK-LC5|Human|Hong_Kong|2003.37,2003-05-15,Estimated date of onset,Bothpatients had disease onset in mid-May 2003. ,ref 20 footnote: https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,,"CUHK-LC3, CUHK-LC4, and CUHK-LC5 were obtained from three different nasal swab specimens both directly and from the culture supernatants of an elderly patient who acquired SARS in the same hospital: https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed (see ref 20 footnote)",,,,,
AY394996|ZS-B|Human|China_Guangdong_Zhongshan|2003.0397,2003-01-05,Estimated date of onset,"Three of the SARS-CoV genome sequences (ZS-A, ZS-B, and ZS-C; Fig. 2) with the 82-nt deletion were obtained from samples of very early cases from Zhongshan city.  See Fig S1: ealiest cases were around first week of January  : https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,,,,,,,
AY394997|ZS-A|Human|China_Guangdong_Zhongshan|2003.0397,2003-01-05,Estimated date of onset,"Three of the SARS-CoV genome sequences (ZS-A, ZS-B, and ZS-C; Fig. 2) with the 82-nt deletion were obtained from samples of very early cases from Zhongshan city.  See Fig S1: ealiest cases were around first week of January  : https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,,,,,,,
AY395003|ZS_C|Human|China_Guangdong_Zhongshan|2003.0397,2003-01-05,Estimated date of onset,"Three of the SARS-CoV genome sequences (ZS-A, ZS-B, and ZS-C; Fig. 2) with the 82-nt deletion were obtained from samples of very early cases from Zhongshan city.  See Fig S1: ealiest cases were around first week of January  : https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,,,,,,,
AY525636|GD03T0013|Human|China_Guangdong_Guangzhou|2003.972603,2003-12-22,Date of collection,"sampling date, 22 December 2003: https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",,,"index patient of the city of Guangzhou (onset date, 16 December 2003; hospitalized 20 December 2003; www.wpro.who.int/sars/docs/pressreleases/pr_27122003.asp).",oropharyngeal swab sample,,,,
AY345986|CUHK_AG01|Human|Hong_Kong|2003.21,2003-03-15,Estimated date of onset,"3 days after a haemodialysis session on March 12, 2003, patient 1 complained of fever, cough, and myalgia.: https://www.sciencedirect.com/science/article/pii/S014067360314901X?via%3Dihub; https://www.pnas.org/content/pnas/suppl/2005/01/27/0409608102.DC1/09608Table1.pdf",https://www.sciencedirect.com/science/article/pii/S014067360314901X?via%3Dihub,patient 1,Index case: The suspected Amoy Gardens index case was a man who attended the Prince of Wales Hospital regularly for haemodialysis (patient 1).,serum,,,,
AY345987|CUHK-AG02|Human|Hong_Kong|2003.21,2003-03-22,Estimated date of onset,"Subsequently, on March 19, 2003, he lodged overnight with his brother, who lived in the Amoy Gardens complex. . The number of Amoy Gardens residents diagnosed as having SARS rose strikingly after his stay, peaking on March 24. SO between 19 and 24: https://www.sciencedirect.com/science/article/pii/S014067360314901X?via%3Dihub#bib2",https://www.sciencedirect.com/science/article/pii/S014067360314901X?via%3Dihub,patient 2,from two other residents infected with SARS (patients 2 and 3) randomly selected from the unit where patient 1 had stayed or from the adjacent unit: https://www.sciencedirect.com/science/article/pii/S014067360314901X?via%3Dihub,nasopharyngeal aspirate,,,,
AY345988|CUHK_AG03|Human|Hong_Kong|2003.21,2003-03-22,Estimated date of onset,"Subsequently, on March 19, 2003, he lodged overnight with his brother, who lived in the Amoy Gardens complex. . The number of Amoy Gardens residents diagnosed as having SARS rose strikingly after his stay, peaking on March 24. SO between 19 and 24: https://www.sciencedirect.com/science/article/pii/S014067360314901X?via%3Dihub#bib2",https://www.sciencedirect.com/science/article/pii/S014067360314901X?via%3Dihub,patient 3,from two other residents infected with SARS (patients 2 and 3) randomly selected from the unit where patient 1 had stayed or from the adjacent unit: https://www.sciencedirect.com/science/article/pii/S014067360314901X?via%3Dihub,stools,,,,
AY278554|CUHK_W1|Human|China_Guangdong_Shenzhen|2003.21,2003-03-24,Collection date,"Personal Communication, The Chinese SARS Molecular Epidemiology Consortium: Supp: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC446188/",,,"from a patient who had traveled to Shenzhen, Guangdong Province, China, six days before the onset of his symptoms on March 15, 2003: https://www.nejm.org/doi/pdf/10.1056/NEJM200307103490216",NOTE: location should be HK not Guangdong,,,,
AY572034|civet007|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.04,2004-01-02,Collection date,"When possible SARS was diagnosed in the waitress on January 2, 2004, serum, throat and rectal swabs were obtained from all 6 palm civets at the restaurant. : https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367621/",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367621/; https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005#T1,7,"Restaurant civet. Epidemiologic investigations showed that 2 of the 4 recent SARS patients were linked with the restaurant serving palm civets as food. One patient was a 20-year-old waitress who became ill on December 26, 2003, with suspected SARS was diagnosed on January 2, 2004. All 6 palm civets from the restaurant were positive for SARS-CoV.","serum, throat and rectal swabs were obtained from all 6 palm civets at the restaurant.",,,,
AY278489|GD01|Human|China_Guangdong|2003.2808,2003-02-11,Estimated date of collection,"strain GD01 (originally designated GZ01), isolated from the first autopsy sample of Guangdong. In particular, the first three SARS autopsies were performed in Guangzhou on 11, 12 and 25 February 2003 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2435571/",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2435571/#sec3,,"We isolated the GD01 from a 54-year-old female patient. She was suspected being infected during her hospitalization by indirect contact with one of the “superspreaders”, who stayed in the same hospital as she did. She was one of the SARS cases with known transmission path connecting to the “Index Cases” identified in Guangdong Province. https://www.sciencedirect.com/science/article/pii/S1672022903010143?via%3Dihub",The viral isolate was from the autopsied lung tissue of the patient and propagated in Vero-E6 cell culture. ,2003-04-13,https://era.ed.ac.uk/handle/1842/5859,3/18/03,https://github.com/plemey/SARSCoV2origins/blob/master/BEAST/SARS-CoV/SARS-CoV-1.recDel.xml
AY278488|BJ01|Human|China_Beijing|2003.1795,2003-03-05,Estimated date of collection,"He, as the second SARS patient hospitalized (March 5th) in Beijing, died two days after the diagnosis: https://www.sciencedirect.com/science/article/pii/S1672022903010234?via%3Dihub#t0005",https://link.springer.com/article/10.1007/BF03184203; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088533/pdf/11434_2010_Article_BF03184203.pdf; https://www.sciencedirect.com/science/article/pii/S1672022903010234?via%3Dihub#t0005; https://pubmed.ncbi.nlm.nih.gov/15629030/; https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005; https://www.science.org/doi/10.1126/science.1087139,," BJ01 and BJ03 were derived from the autopsied lung tissue (BJ01) and liver/lymph nodes (BJ03) of the same patient who was the father of the first patient (the Index Case of Beijing) diagnosed on March 1, 2003 in Beijing: https://www.sciencedirect.com/science/article/pii/S1672022903010234?via%3Dihub#t0005 together with the early Beijing isolates BJ01, BJ02, and BJ03, traceable to Guangdon: https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",Lung autopsy,2003-03-07,https://era.ed.ac.uk/handle/1842/5859,,
AY278487|BJ02|Human|China_Beijing|2003.3027,2003-03-15,Estimated date of onset, Isolate BJ02 was inoculated from pooled samples of nose/throat swabs from seven patients who were all evidenced to be infected by the first patient when she (the Index Case of Beijing) was hospitalized in the first week of March at the same hospital: https://www.sciencedirect.com/science/article/pii/S1672022903010234?via%3Dihub#t0005,,," Together with the early Beijing isolates BJ01, BJ02, and BJ03, traceable to Guangdon: https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",Nose and throat swabs,2003-04-21,https://era.ed.ac.uk/handle/1842/5859,,
AY278490|BJ03|Human|China_Beijing|2003.4205,2003-03-05,Estimated date of collection,"He, as the second SARS patient hospitalized (March 5th) in Beijing, died two days after the diagnosis: https://www.sciencedirect.com/science/article/pii/S1672022903010234?via%3Dihub#t0005",https://www.sciencedirect.com/science/article/pii/S1672022903010234?via%3Dihub#t0005;https://pubmed.ncbi.nlm.nih.gov/15629030/; https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005; https://www.science.org/doi/10.1126/science.1087139,," BJ01 and BJ03 were derived from the autopsied lung tissue (BJ01) and liver/lymph nodes (BJ03) of the same patient who was the father of the first patient (the Index Case of Beijing) diagnosed on March 1, 2003 in Beijing: https://www.sciencedirect.com/science/article/pii/S1672022903010234?via%3Dihub#t0005 together with the early Beijing isolates BJ01, BJ02, and BJ03, traceable to Guangdon: https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",Liver & lymph nodes autopsy,2003-06-03,https://era.ed.ac.uk/handle/1842/5859,,
AY310120|FRA|Human|Germany_Frankfurt|2003.21,2003-03-16,Estimated date of collection,"From March 3 to 9, 2003, he treated a patient with atypical pneumonia in Singapore who had arrived from Hong Kong. On March 9 (day 1) his illness started with abrupt onset of fever (temperature, 39.4°C). he was transferred to an isolation unit at the Frankfurt University Hospital with suspected SARS (day 7)",https://www.nejm.org/doi/full/10.1056/NEJMoa030747; https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005#T1,Fra,"The index patient was a 32-year-old male physician. From March 3 to 9, 2003, he treated a patient with atypical pneumonia in Singapore who had arrived from Hong Kong: https://www.nejm.org/doi/full/10.1056/NEJMoa030747",The virus was propagated in African green monkey kidney (Vero and Vero E6) cells,,,,
AY686863|A022|Civet|China_Guangdong_Guangzhou|2004.04,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,A022G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,2004-01-05,https://era.ed.ac.uk/handle/1842/5859,,
AY686864|B039|Civet|China_Guangdong_Guangzhou|2004.04,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,B039G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,2004-01-05,https://era.ed.ac.uk/handle/1842/5859,,
AY687359|B012|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,B012G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687372|C029|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,C029G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687364|B040|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,B040G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687366|C014|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,C014G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687367|C017|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,C017G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687362|B033|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,B033G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687369|C019|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,C019G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687355|A013|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,A013G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687354|A001|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,,,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687368|C018|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,,,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687370|C025|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,,,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687356|A021|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,,,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687360|B024|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,,,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687363|B039|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,B039G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687371|C028|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,C028G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687365|C013|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,C013G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687357|A030|Raccoon_Dog|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,A030G,Market animal.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687358|A031|Raccoon_Dog|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,A031G,Market animal.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687373|A022|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005,A022G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY687361|B029|Civet|China_Guangdong_Guangzhou_Xinyuan-market|2004.0396,2004-01-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005; https://www.science.org/doi/10.1126/science.1087139,B029G,Market civet.,CHECK correction: https://journals.asm.org/doi/10.1128/JVI.01072-06,,,,
AY304486|SZ3|Civet|China_Shenzhen_Dongmen-Market|2003.37,2003-05-07,Estimated date of collection,Fig 3,https://www.pnas.org/content/102/7/2430.long; https://era.ed.ac.uk/handle/1842/5859,SZ3,Market civet.,Swabs from four of six Himalayan palm civets were positive in the RT-PCR assay ,,,,
AY304488|SZ16|Civet|China_Shenzhen_Dongmen-Market|2003.37,2003-05-07,Estimated date of collection,Fig 3,https://www.pnas.org/content/102/7/2430.long; https://era.ed.ac.uk/handle/1842/5859,SZ16,Market civet.,Swabs from four of six Himalayan palm civets were positive in the RT-PCR assay ,2003-05-15],https://github.com/plemey/SARSCoV2origins/blob/master/BEAST/SARS-CoV/SARS-CoV-1.recDel.xml,,
AY394991|HZS2_Fc|Human|China_Guangdong_Guangzhou|2003.1027,2003-02-07,Date of onset,Isolate from a secondarily infected patient from Hospital HZS-2 with disease onset on 7 February 2003 (HZS2-Fc) ,https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,,,,2003-05-15],https://github.com/plemey/SARSCoV2origins/blob/master/BEAST/SARS-CoV/SARS-CoV-1.recDel.xml,,
AY613950|PC4_227|Civet|China|2004.04,2004-01-05,Collection date,S Table 1,https://www.pnas.org/content/102/7/2430.long,Pc7,,,,,,
AY568539|GZ0401|Human|China_Guangdong_Guangzhou|2003.96,2003-12-22,Collection date,S Table 1,https://www.pnas.org/content/102/7/2430.long,Hp2, GZ0401 (AY568539) was the complete genome sequence of the SARS-CoV isolated from the same patient (the index patient in 2003–2004 epidemic) from which the GD03T0013 (AY525636) spike gene sequence was obtained: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7117273/,,,,,
AY613947|GZ0402|Human|China_Guangdong_Guangzhou|2004.04,2004-01-05,Collection date,S Table 1,https://www.pnas.org/content/102/7/2430.long,Hp3,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3323270/,,,,,
AY613948|PC4_13|Civet|China|2004.04,2004-01-10,Collection date,S Table 1,https://www.pnas.org/content/102/7/2430.long,Pc5,,,,,,
AY613949|PC4_136|Civet|China|2004.04,2004-01-05,Collection date,S Table 1,https://www.pnas.org/content/102/7/2430.long,Pc6,,,,,,
AY304492|HKU-36871|Human|Hong_Kong|2003.2014,2003-03-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005#T1,HKU-36871,,,,,,
AY304493|HKU-65806|Human|Hong_Kong|2003.2014,2003-03-15,Estimated date of collection,Table 1,https://journals.asm.org/doi/10.1128/JVI.79.18.11892-11900.2005#T1,HKU-65806,,,,,,
AY304487|SZ13|Raccoon_Dog|China_Shenzhen_Dongmen-Market|2003.345205,2003-05-07,Estimated from date of collection of associated viruses,"One market, assuming sampled on the same day as SZ16. Nevertheless, animal virus SZ13 (raccoon dog) and SZ16 (palm civet) were genetically almost identical, and transmission or contamination from one host to the other within the market cannot be excluded.",,,Market civet.,Swabs from four of six Himalayan palm civets were positive in the RT-PCR assay ,,,,
AY304489|SZ1|Civet|China_Shenzhen_Dongmen-Market|2003.345205,2003-05-07,Estimated from date of collection of associated viruses,"One market, assuming sampled on the same day as SZ16. Nevertheless, animal virus SZ13 (raccoon dog) and SZ16 (palm civet) were genetically almost identical, and transmission or contamination from one host to the other within the market cannot be excluded.",,,Market civet.,Swabs from four of six Himalayan palm civets were positive in the RT-PCR assay ,,,,
AY394978|GZ-B|Human|China_Guangdong_Guangzhou|2003.21,2003-03-15,Estimated date of onset,GZ-B and GZ-C are two genotypes obtained from two Guangzhou patients with disease onset from mid-March,Supp: https://www.science.org/doi/full/10.1126/science.1092002#FIG2,,GZ-B and GZ-C are two genotypes obtained from two Guangzhou patients with disease onset from mid-March,,,,,
AY394979|GZ-C|Human|China_Guangdong_Guangzhou|2003.21,2003-03-15,Estimated date of onset,GZ-B and GZ-C are two genotypes obtained from two Guangzhou patients with disease onset from mid-March,Supp: https://www.science.org/doi/full/10.1126/science.1092002#FIG2,,GZ-B and GZ-C are two genotypes obtained from two Guangzhou patients with disease onset from mid-March,,,,,
AY394983|HZS2-A|Human|China_Guangdong_Guangzhou|2003.1219,2003-02-07,Estimated date of onset,"These patients were probably contacts of the patients whowas then admitted to the HZS-2 Hospital on 30 January 2003. During his less than 48_h stay in the HZS-2 Hospital, he infected more than 30 hospital staff members and patients: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2435571/",,,"One group was represented by the isolates related to the Hospital HZS-2 outbreak (HZS2-A, HZS2-B, HZS2-C, HZS2-D, HZS2-E, and HGZ8L-2): https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",,,,,
AY395004|HZS2-Bb|Human|China_Guangdong_Guangzhou|2003.1219,2003-02-07,Estimated date of onset,"These patients were probably contacts of the patients whowas then admitted to the HZS-2 Hospital on 30 January 2003. During his less than 48_h stay in the HZS-2 Hospital, he infected more than 30 hospital staff members and patients: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2435571/",,,"One group was represented by the isolates related to the Hospital HZS-2 outbreak (HZS2-A, HZS2-B, HZS2-C, HZS2-D, HZS2-E, and HGZ8L-2): https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",,,,,
AY394992|HZS2-C|Human|China_Guangdong_Guangzhou|2003.1219,2003-02-07,Estimated date of onset,"These patients were probably contacts of the patients whowas then admitted to the HZS-2 Hospital on 30 January 2003. During his less than 48_h stay in the HZS-2 Hospital, he infected more than 30 hospital staff members and patients: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2435571/",,,"One group was represented by the isolates related to the Hospital HZS-2 outbreak (HZS2-A, HZS2-B, HZS2-C, HZS2-D, HZS2-E, and HGZ8L-2): https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",,,,,
AY394989|HZS2-D|Human|China_Guangdong_Guangzhou|2003.1219,2003-02-07,Estimated date of onset,"These patients were probably contacts of the patients whowas then admitted to the HZS-2 Hospital on 30 January 2003. During his less than 48_h stay in the HZS-2 Hospital, he infected more than 30 hospital staff members and patients: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2435571/",,,"One group was represented by the isolates related to the Hospital HZS-2 outbreak (HZS2-A, HZS2-B, HZS2-C, HZS2-D, HZS2-E, and HGZ8L-2): https://www.science.org/doi/10.1126/science.1092002?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed",,,,,
